127.0.0.1 - - [29/Jul/2019:14:42:13 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:42:14 +0900] "GET /spring/WEB-INF/views/index.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:42:14 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:42:34 +0900] "GET /spring/index.html HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:43:50 +0900] "GET /spring/WEB-INF/views/main.jsp HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:44:04 +0900] "GET /spring/ HTTP/1.1" 200 487
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/ HTTP/1.1" 200 30680
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/ HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/css/agency.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/02-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/01-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/jquery/jquery.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/jqBootstrapValidation.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/contact_me.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/03-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/04-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/05-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/agency.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/06-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/4.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/team/2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/team/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/team/3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/logos/envato.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/logos/designmodo.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/logos/themeforest.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/logos/creative-market.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/03-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/04-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/02-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/01-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/05-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/06-full.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/ HTTP/1.1" 200 30680
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/01-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/css/agency.min.css HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/02-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/jquery/jquery.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/contact_me.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/jqBootstrapValidation.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/vendor/jquery-easing/jquery.easing.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/js/agency.min.js HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/03-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/05-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/06-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/portfolio/04-thumbnail.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/2.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/3.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/about/4.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/team/1.jpg HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [29/Jul/2019:14:45:33 +0900] "GET /spring/img/team/2.jpg HTTP/1.1" 404 1047
